6049	14356280
6050	14373280
6051	14374280
6052	14375280
6053	14376280
6054	14377280
6055	14378280
6056	14379280
6057	14380280
6058	14381280
6059	14382280
6060	14398280
6061	14399280
6062	14400280
6063	14401280
6064	14402280
6065	14403280
6066	14404280
6067	14405280
6068	14406280
6069	14407280
6070	14424280
6071	14425280
6072	14426280
6073	14427280
6074	14428280
6075	14429280
6076	14430280
6077	14431280
6078	14432288
6079	14433288
6080	14449304
6081	14450304
6082	14451304
6083	14452304
6084	14453304
6085	14454304
6086	14455304
6087	14456304
6088	14457304
6089	14458312
6090	14474320
6091	14475320
6092	14476320
6093	14477320
6094	14478320
6095	14479320
6096	14480320
6097	14481320
6098	14482320
6099	14483320
6100	14500320
6101	14501320
6102	14502320
6103	14503320
6104	14504320
6105	14505320
6106	14506320
6107	14507320
6108	14508320
6109	14509320
6110	14525320
6111	14526320
6112	14527320
6113	14528320
6114	14529320
6115	14530320
6116	14531320
6117	14532320
6118	14533320
6119	14534320
6120	14551320
6121	14552320
6122	14553320
6123	14554320
6124	14555320
6125	14556320
6126	14557320
6127	14558320
6128	14559320
6129	14560320
6130	14576320
6131	14577320
6132	14578320
6133	14579320
6134	14580320
6135	14581320
6136	14582320
6137	14583320
6138	14584320
6139	14585320
6140	14602320
6141	14603320
6142	14604320
6143	14605320
6144	14606320
6145	14607320
6146	14608320
6147	14609320
6148	14610320
6149	14611320
6150	14627320
6151	14628320
6152	14629320
6153	14630320
6154	14631320
6155	14632320
6156	14633320
6157	14634320
6158	14635320
6159	14636320
6160	14653328
6161	14654328
6162	14655328
6163	14656328
6164	14657328
6165	14658328
6166	14659328
6167	14660328
6168	14661328
6169	14662328
6170	14678344
6171	14679344
6172	14680344
6173	14681352
6174	14682352
6175	14683352
6176	14684352
6177	14685352
6178	14686352
6179	14687352
6180	14704360
6181	14705360
6182	14706360
6183	14707360
6184	14708360
6185	14709360
6186	14710360
6187	14711360
6188	14712360
6189	14713360
6190	14729360
6191	14730360
6192	14731360
6193	14732360
6194	14733360
6195	14734360
6196	14735360
6197	14736360
6198	14737360
6199	14738360
6200	14755360
6201	14756360
6202	14757360
6203	14758360
6204	14759360
6205	14760360
6206	14761360
6207	14762360
6208	14763360
6209	14764360
6210	14780360
6211	14781360
6212	14782360
6213	14783360
6214	14784360
6215	14785360
6216	14786360
6217	14787360
6218	14788360
6219	14789360
6220	14806360
6221	14807360
6222	14808360
6223	14809360
6224	14810360
6225	14811360
6226	14812360
6227	14813360
6228	14814360
6229	14815360
6230	14831360
6231	14832360
6232	14833360
6233	14834360
6234	14835360
6235	14836360
6236	14837360
6237	14838360
6238	14839360
6239	14840360
6240	14857360
6241	14858360
6242	14859360
6243	14860360
6244	14861360
6245	14862368
6246	14863368
6247	14864368
6248	14865368
6249	14866368
6250	14882384
6251	14883384
6252	14884384
6253	14885384
6254	14886384
6255	14887392
6256	14888392
6257	14889392
6258	14890392
6259	14891392
6260	14908400
6261	14909400
6262	14910400
6263	14911400
6264	14912400
6265	14913400
6266	14914400
6267	14915400
6268	14916400
6269	14917400
6270	14933400
6271	14934400
6272	14935400
6273	14936400
6274	14937400
6275	14938400
6276	14939400
6277	14940400
6278	14941400
6279	14942400
6280	14959400
6281	14960400
6282	14961400
6283	14962400
6284	14963400
6285	14964400
6286	14965400
6287	14966400
6288	14967400
6289	14968400
6290	14984400
6291	14985400
6292	14986400
6293	14987400
6294	14988400
6295	14989400
6296	14990400
6297	14991400
6298	14992400
6299	14993400
6300	15010400
6301	15011400
6302	15012400
6303	15013400
6304	15014400
6305	15015400
6306	15016400
6307	15017400
6308	15018400
6309	15019400
6310	15035400
6311	15036400
